apps_sydney_2017/data/country_data/br	year	month	day	focal_depth	magnitute	country	location_name	latitude	longitude	deaths	missing	injuries	damage_millions_dollars			damage_description	houses_destroyed	houses_destroyed_description	houses_damaged	houses_damaged_description	total_deaths	total_deaths_description	total_missing	total_missing_description	total_injuries	total_injuries_description	total_damage_millions_dollars	total_damage_range	total_damage_description	total_houses_destroyed	total_houses_damaged
	2008	9	16	10	5	india	india:  maharashtra	17.438	73.915	1		20				3					1	1			20	1		~$5 to $24 Million	3		1500
	2008	10	5	27	6.6	kyrgyzstan	kyrgyzstan: nura	39.533	73.824	74		140				2		2			74	2			140	3		~$1 to $5 Million	2		
	2008	10	6	12	6.3	china	china:  tibet (xizang province)	29.807	90.35	9		19				2		3			9	1			19	1		~$1 to $5 Million	2		
	2008	10	11	16	5.7	russia	russia:  caucasus:  chechnya	43.372	46.254	13		100				3			1027	4	13	1			100	2		~$5 to $24 Million	3		1027
	2008	10	28	15	6.4	pakistan	pakistan:  quetta	30.639	67.351	166		370				4	3487	4	3487	4	166	3			370	3		$25 Million or more	4	3487	4125
	2008	10	29	14	6.4	pakistan	pakistan:  ziarat	30.598	67.455			1				2		2		2					1	1		~$1 to $5 Million	2		
	2008	11	10	19	6.3	china	china:  qinghai province	37.565	95.833			3	4			2		2		2					3	1	4	~$1 to $5 Million	2		
Tsu	2008	11	16	30	7.3	indonesia	indonesia:  minahassa peninsula	1.271	122.091	6		77				3			1000	3	6	1			77	2		~$5 to $24 Million	3		1000
	2008	11	19	32	6.1	panama	panama:  paso canoa, david, puerto armuelles	8.267	-82.967							1												Less than $1 Million	1		
	2008	11	22		4.1	czech republic	czech republic:  karvina	49.914	18.455	2		3				1					2	1			3	1		Less than $1 Million	1		
	2008	12	7	15	5.4	iran	iran:  s	26.99	55.8			5				1									5	1		Less than $1 Million	1		
	2008	12	9	25	4.5	china	china:  sichuan province	32.518	105.395	2		3									2	1			3	1		#N/A			
	2008	12	10	10	4.1	argentina	argentina:  potrerillos	-32.938	-69.259							1												Less than $1 Million	1		
	2008	12	25	35	4.7	myanmar (burma)	myanmar (burma)	23.97	97.569			19				3	30	1	30	1					19	1		~$5 to $24 Million	3	30	5400
	2008	12	25	35	4.8	china	china:  yunnan province:  simao	23.97	97.569			19				2	30	1	5400	4					19	1		~$1 to $5 Million	2	30	5400
	2008	12	29	158	5.8	afghanistan	afghanistan; pakistan:  mansehra, shangla	36.401	71.075							1												Less than $1 Million	1		
Tsu	2009	1	3	17	7.6	indonesia	papua new guinea:  near north coast	-0.414	132.885	5		250				3			840	3	5	1			250	3		~$5 to $24 Million	3		840
Tsu	2009	1	3	23	7.3	indonesia	papua new guinea:  near north coast	-0.691	133.305																			#N/A			
	2009	1	8	14	6.1	costa rica	costa rica:  la paz	10.165	-84.197	23	17	100				3	518	3			23	1	17	1	100	2		~$5 to $24 Million	3	518	
Tsu	2009	1	15	36	7.4	russia	russia:  kuril islands	46.857	155.154																			#N/A			
